anio_lectivo,amie,nombre_institucion,provincia,cod_provincia,canton,cod_canton,nivel_educacion,sostenimiento,total_estudiantes
2023-2024 Inicio,03H00515,UNIDAD EDUCATIVA PARTICULAR JULIO MARIA MATOVELLE,CAÑAR,3,LA TRONCAL,304,"Educación Inicial, Educación General Básica y Bachillerato",Particular,104
2023-2024 Inicio,17H01353,UNIDAD EDUCATIVA PARTICULAR JULIO MARIA MATOVELLE,PICHINCHA,17,QUITO,1701,Educación General Básica y Bachillerato,Particular,142
2023-2024 Inicio,13H02335,UNIDAD EDUCATIVA PARTICULAR JULIO PIERREGROSSE,MANABI,13,MANTA,1308,"Educación Inicial, Educación General Básica y Bachillerato",Particular,71
2023-2024 Inicio,17H04451,UNIDAD EDUCATIVA PARTICULAR KEN ROBINSON,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,7
2023-2024 Inicio,01H00241,UNIDAD EDUCATIVA PARTICULAR KENNEDY,AZUAY,1,CUENCA,101,"Educación Inicial, Educación General Básica y Bachillerato",Particular,64
2023-2024 Inicio,17H03288,UNIDAD EDUCATIVA PARTICULAR KHIPU,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,13
2023-2024 Inicio,23H00023,UNIDAD EDUCATIVA PARTICULAR KOLPING,SANTO DOMINGO DE LOS TSACHILAS,23,SANTO DOMINGO,2301,Educación General Básica y Bachillerato,Particular,20
2023-2024 Inicio,01H00213,UNIDAD EDUCATIVA PARTICULAR LA ASUNCION,AZUAY,1,CUENCA,101,Educación General Básica y Bachillerato,Particular,216
2023-2024 Inicio,17H01009,UNIDAD EDUCATIVA PARTICULAR LA CONDAMINE,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,72
2023-2024 Inicio,09H01666,UNIDAD EDUCATIVA PARTICULAR LA DOLOROSA,GUAYAS,9,GUAYAQUIL,901,"Educación Inicial, Educación General Básica y Bachillerato",Particular,28
2023-2024 Inicio,17H00027,UNIDAD EDUCATIVA PARTICULAR LA DOLOROSA,PICHINCHA,17,QUITO,1701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,69
2023-2024 Inicio,09H00864,UNIDAD EDUCATIVA PARTICULAR LA GRAN ESFERA AZUL,GUAYAS,9,GUAYAQUIL,901,Educación General Básica y Bachillerato,Particular,15
2023-2024 Inicio,07H00020,UNIDAD EDUCATIVA PARTICULAR LA INMACULADA,EL ORO,7,MACHALA,701,"Educación Inicial, Educación General Básica y Bachillerato",Particular,103
