anio,cod_provincia,provincia,cod_canton,canton,ciiu,vab_miles_usd
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,SALUD,87150.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,OTROS SERVICIOS,98670.0
2023,1.0,AZUAY,113.0,SEVILLA DE ORO,ECONOMÍA TOTAL,148773760.0
2023,1.0,AZUAY,114.0,GUACHAPALA,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",1209880.0
2023,1.0,AZUAY,114.0,GUACHAPALA,EXPLOTACIÓN DE MINAS Y CANTERAS,0.0
2023,1.0,AZUAY,114.0,GUACHAPALA,MANUFACTURA,19720.0
2023,1.0,AZUAY,114.0,GUACHAPALA,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,72000.0
2023,1.0,AZUAY,114.0,GUACHAPALA,CONSTRUCCIÓN,137560.0
2023,1.0,AZUAY,114.0,GUACHAPALA,COMERCIO,186400.0
2023,1.0,AZUAY,114.0,GUACHAPALA,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",132720.0
2023,1.0,AZUAY,114.0,GUACHAPALA,ALOJAMIENTO Y SERVICIOS DE COMIDA,19700.0
2023,1.0,AZUAY,114.0,GUACHAPALA,ACTIVIDADES FINANCIERAS,616320.0
2023,1.0,AZUAY,114.0,GUACHAPALA,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,178080.0
2023,1.0,AZUAY,114.0,GUACHAPALA,ADMINISTRACIÓN PÚBLICA,2105020.0
2023,1.0,AZUAY,114.0,GUACHAPALA,ENSEÑANZA,389190.0
2023,1.0,AZUAY,114.0,GUACHAPALA,SALUD,750.0
2023,1.0,AZUAY,114.0,GUACHAPALA,OTROS SERVICIOS,48160.0
2023,1.0,AZUAY,114.0,GUACHAPALA,ECONOMÍA TOTAL,5115500.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",1540440.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,EXPLOTACIÓN DE MINAS Y CANTERAS,252927930.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,MANUFACTURA,8076750.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,7520150.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,CONSTRUCCIÓN,9446130.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,COMERCIO,9554120.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",1843240.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,ALOJAMIENTO Y SERVICIOS DE COMIDA,1619080.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,ACTIVIDADES FINANCIERAS,860280.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,3996540.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,ADMINISTRACIÓN PÚBLICA,9344630.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,ENSEÑANZA,6413660.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,SALUD,395470.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,OTROS SERVICIOS,2306150.0
2023,1.0,AZUAY,115.0,CAMILO PONCE ENRÍQUEZ,ECONOMÍA TOTAL,315844570.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,"AGRICULTURA, GANADERÍA, SILVICULTURA Y PESCA",42522060.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,EXPLOTACIÓN DE MINAS Y CANTERAS,12890.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,MANUFACTURA,4474110.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,SUMINISTRO DE ELECTRICIDAD Y DE AGUA,2571210.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,CONSTRUCCIÓN,14308420.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,COMERCIO,20269210.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,"TRANSPORTE, INFORMACIÓN Y COMUNICACIONES",9933400.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,ALOJAMIENTO Y SERVICIOS DE COMIDA,454730.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,ACTIVIDADES FINANCIERAS,21607110.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,ACTIVIDADES PROFESIONALES E INMOBILIARIAS,10908810.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,ADMINISTRACIÓN PÚBLICA,16529000.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,ENSEÑANZA,47360960.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,SALUD,13268010.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,OTROS SERVICIOS,6962030.0
2023,2.0,BOLÍVAR,201.0,GUARANDA,ECONOMÍA TOTAL,211181950.0
